year;TR_ID;city;gender;total_crime;homicide;assault;sexual_crimes;kidnapping;defamation;theft;robbery;swindling;production_and_commerce_of_drugs;use_and_purchase_of_drugs;forgery;bad_treatment;embezzlement;bribery;smuggling;traffic_crimes;forestry_crimes;crimes_related_with_firearms_and_knifes;opposition_to_the_bankruptcy_and_enforcement_law;opposition_to_the_military_criminal_law;threat;damage_to_property;prevention_of_performance;contrary_to_the_measures_for_family_protection;other_crimes;unknown
2020;TR100;İstanbul;Male;39542;1026;5055;820;811;520;6306;2023;1846;1954;2621;2428;14;15;18;310;1335;43;1655;1230;499;916;292;563;612;6569;61
2020;TR100;İstanbul;Female;1724;26;123;6;16;32;487;62;108;131;20;112;25;4;0;12;12;3;9;53;0;25;23;25;25;382;3
2020;TR211;Tekirdağ;Male;2927;71;453;76;60;46;509;90;58;63;125;48;0;2;2;16;169;2;65;154;239;97;31;46;136;367;2
2020;TR211;Tekirdağ;Female;94;3;7;0;2;1;23;6;0;10;1;6;0;0;0;1;1;0;0;7;0;2;2;2;1;19;0
2020;TR212;Edirne;Male;2014;39;260;39;28;28;226;41;38;58;70;35;0;4;4;44;95;2;32;65;200;49;11;20;30;596;0
2020;TR212;Edirne;Female;55;0;7;0;1;2;11;1;1;8;0;4;0;1;0;0;0;0;1;1;0;1;0;0;2;14;0
2020;TR213;Kırklareli;Male;1409;22;221;36;21;16;193;23;24;39;34;21;2;1;0;10;88;11;19;94;99;56;11;14;32;319;3
2020;TR213;Kırklareli;Female;38;1;3;0;1;0;14;0;0;2;1;2;0;0;0;0;0;0;0;3;0;1;0;0;0;10;0
2020;TR221;Balıkesir;Male;4629;101;939;110;95;85;649;92;123;119;95;54;2;6;0;33;298;8;137;423;118;213;60;90;121;657;1
2020;TR221;Balıkesir;Female;268;3;29;1;4;5;73;4;5;14;0;4;0;0;0;3;7;0;0;32;0;6;2;1;4;70;1
2020;TR222;Çanakkale;Male;1817;30;271;23;28;35;245;37;53;21;55;25;0;3;4;13;146;5;29;137;128;87;21;21;24;375;1
2020;TR222;Çanakkale;Female;70;2;5;0;1;1;21;2;3;4;1;1;0;1;0;0;3;0;1;1;0;4;0;0;0;19;0
2020;TR310;İzmir;Male;18965;357;2422;352;221;353;2804;588;763;577;1650;402;5;17;7;257;1218;26;468;894;348;586;163;373;416;3684;14
2020;TR310;İzmir;Female;764;14;71;2;2;21;185;31;45;48;15;20;3;0;0;9;24;0;5;50;0;15;5;16;12;171;0
2020;TR321;Aydın;Male;5465;110;909;102;82;116;835;137;189;141;412;51;3;4;1;50;464;14;134;314;67;235;57;85;69;880;4
2020;TR321;Aydın;Female;241;3;26;0;3;5;60;4;16;9;26;1;1;0;0;0;5;0;2;28;0;10;4;1;0;37;0
2020;TR322;Denizli;Male;4757;80;724;67;85;99;667;90;248;133;201;92;1;5;0;38;385;7;126;559;49;215;53;53;124;655;1
2020;TR322;Denizli;Female;278;3;22;0;2;5;54;5;19;15;16;2;0;0;0;1;8;0;0;52;0;7;2;2;0;63;0
2020;TR323;Muğla;Male;4313;100;668;69;75;91;437;56;143;177;106;70;2;3;4;59;509;15;81;335;40;190;35;99;96;851;2
2020;TR323;Muğla;Female;170;3;29;1;2;2;38;1;10;1;3;7;1;1;0;2;3;0;1;16;0;6;5;1;3;34;0
2020;TR331;Manisa;Male;5743;168;1044;121;124;118;795;152;211;171;184;59;0;4;1;73;444;25;118;378;60;286;56;121;167;859;4
2020;TR331;Manisa;Female;217;6;28;1;1;4;33;3;13;12;3;3;1;0;0;1;11;0;0;17;0;13;4;4;1;58;0
2020;TR332;Afyonkarahisar;Male;2526;95;463;47;49;40;310;50;98;73;58;42;2;0;0;21;133;6;38;219;33;135;21;51;57;485;0
2020;TR332;Afyonkarahisar;Female;134;2;17;0;1;0;23;2;1;9;5;2;1;0;0;2;3;0;1;10;0;5;1;2;2;45;0
2020;TR333;Kütahya;Male;1439;37;325;38;27;28;199;27;41;31;17;15;0;2;2;16;72;4;31;179;27;66;12;21;39;182;1
2020;TR333;Kütahya;Female;94;2;13;0;0;2;19;4;0;2;0;1;0;1;0;2;1;0;1;12;0;2;2;0;0;30;0
2020;TR334;Uşak;Male;1508;39;271;31;31;35;135;21;55;66;49;22;0;4;1;21;105;3;40;180;3;62;22;24;30;257;1
2020;TR334;Uşak;Female;78;0;10;0;0;1;17;1;9;10;0;0;0;0;0;0;0;0;0;6;0;1;0;1;0;22;0
2020;TR411;Bursa;Male;8514;126;1455;188;158;151;1498;266;313;271;546;164;2;5;0;35;455;8;377;708;62;261;85;103;188;1085;4
2020;TR411;Bursa;Female;461;3;47;0;8;10;121;9;21;54;16;8;2;0;0;1;6;0;6;31;0;13;3;6;3;93;0
2020;TR412;Eskişehir;Male;2541;56;539;42;29;48;345;35;88;59;55;50;0;2;2;12;262;2;81;206;30;82;29;31;126;326;4
2020;TR412;Eskişehir;Female;156;2;13;0;0;4;61;5;3;15;3;3;1;0;0;1;1;0;1;19;0;4;1;1;1;17;0
2020;TR413;Bilecik;Male;808;11;108;22;21;8;81;11;21;12;13;9;1;1;1;8;57;2;13;44;40;23;6;15;28;250;2
2020;TR413;Bilecik;Female;44;0;9;0;0;7;10;1;2;0;2;0;0;0;0;1;0;0;0;4;0;0;0;2;2;4;0
2020;TR421;Kocaeli;Male;4517;89;723;125;121;86;729;126;170;311;124;101;0;4;2;41;274;20;175;66;60;153;35;93;130;752;7
2020;TR421;Kocaeli;Female;208;4;21;0;4;4;70;2;7;9;3;11;0;0;0;2;3;1;0;1;0;3;2;4;2;55;0
2020;TR422;Sakarya;Male;3193;85;552;72;88;67;472;48;89;83;149;69;1;3;0;48;166;52;171;211;25;128;22;77;50;463;2
2020;TR422;Sakarya;Female;153;3;7;2;6;1;47;3;3;5;0;4;3;0;0;2;3;1;1;13;0;7;5;1;1;35;0
2020;TR423;Düzce;Male;1354;33;231;54;38;32;201;18;20;68;55;27;2;2;0;17;110;14;58;84;10;48;15;25;25;167;0
2020;TR423;Düzce;Female;45;0;3;0;1;1;7;0;2;2;3;2;0;0;0;0;4;0;1;6;0;1;1;2;4;5;0
2020;TR424;Bolu;Male;1183;19;178;30;19;11;89;5;48;21;17;33;0;2;0;14;149;12;22;120;7;48;18;15;34;271;1
2020;TR424;Bolu;Female;56;1;5;0;0;1;9;0;4;3;0;4;0;0;0;0;1;1;0;14;0;0;0;0;2;11;0
2020;TR425;Yalova;Male;760;15;134;13;8;15;124;11;32;36;31;13;0;1;0;1;59;7;26;27;6;31;5;15;48;102;0
2020;TR425;Yalova;Female;42;0;1;0;0;0;13;1;2;4;0;4;0;0;0;0;0;0;0;4;0;0;1;0;1;11;0
2020;TR510;Ankara;Male;13205;278;2129;257;184;260;2169;417;636;692;315;357;3;14;6;87;792;7;446;599;229;358;113;149;340;2358;10
2020;TR510;Ankara;Female;607;8;46;3;5;19;147;12;52;42;13;14;3;3;0;2;8;0;4;47;0;18;9;7;3;141;1
2020;TR521;Konya;Male;7629;199;1282;155;164;118;1153;181;180;302;361;134;1;6;3;71;691;3;226;715;78;342;50;88;80;1041;5
2020;TR521;Konya;Female;331;8;39;0;4;8;63;6;9;41;18;5;0;1;0;4;10;0;3;24;0;15;5;4;1;63;0
2020;TR522;Karaman;Male;1115;24;225;26;35;27;123;24;9;35;20;11;0;3;0;23;112;5;32;85;3;61;14;17;17;181;3
2020;TR522;Karaman;Female;36;1;4;1;3;1;7;2;3;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;10;0
2020;TR611;Antalya;Male;12175;258;1882;236;221;218;2127;296;530;509;563;271;4;14;4;120;969;39;225;774;78;515;104;169;236;1809;4
2020;TR611;Antalya;Female;665;8;59;2;12;12;173;14;45;48;32;19;2;1;0;3;16;1;2;36;0;25;7;9;5;134;0
2020;TR612;Isparta;Male;2026;35;381;37;19;38;261;30;75;69;103;28;1;2;0;20;158;5;34;176;40;94;18;37;29;335;1
2020;TR612;Isparta;Female;138;2;15;1;2;1;19;3;5;6;11;3;0;1;0;0;4;0;1;8;0;9;1;1;0;45;0
2020;TR613;Burdur;Male;1048;31;199;23;12;19;130;17;46;16;25;19;0;1;0;23;138;2;12;65;35;48;12;32;11;132;0
2020;TR613;Burdur;Female;43;3;9;0;2;0;6;1;5;1;1;0;0;0;0;0;1;0;0;4;0;1;0;1;0;8;0
2020;TR621;Adana;Male;7893;247;1149;109;109;96;1384;268;208;657;292;189;11;4;3;162;468;21;335;207;80;269;52;134;117;1315;7
2020;TR621;Adana;Female;318;5;18;0;6;8;52;10;16;21;12;14;5;2;0;6;12;0;5;11;0;12;4;3;3;93;0
2020;TR622;Mersin;Male;6507;199;902;120;99;102;992;200;148;632;152;128;2;6;0;96;626;27;184;341;29;200;55;110;193;954;10
2020;TR622;Mersin;Female;311;4;24;0;5;9;67;20;6;21;7;13;2;3;0;5;7;3;5;21;0;9;2;7;4;66;1
2020;TR631;Hatay;Male;3887;97;577;64;60;54;597;101;143;224;101;57;3;1;7;112;198;35;155;135;95;132;54;68;100;716;1
2020;TR631;Hatay;Female;131;3;13;1;0;1;28;0;6;18;3;3;0;0;0;6;2;4;1;8;0;4;0;0;3;27;0
2020;TR632;Kahramanmaraş;Male;2359;70;490;53;39;44;358;61;34;143;74;24;1;2;0;24;117;20;57;75;21;121;24;39;126;339;3
2020;TR632;Kahramanmaraş;Female;93;0;10;1;2;1;22;2;2;12;2;1;0;0;0;0;4;0;0;1;0;8;1;0;4;20;0
2020;TR633;Osmaniye;Male;1578;26;263;25;26;38;231;39;23;83;85;27;0;0;1;48;91;14;44;79;16;72;14;18;34;280;1
2020;TR633;Osmaniye;Female;70;0;15;0;1;1;18;2;0;5;0;0;0;0;0;5;1;1;0;4;0;1;0;0;0;16;0
2020;TR711;Kırıkkale;Male;801;25;145;13;22;14;98;17;20;28;37;13;0;1;0;9;45;0;37;31;10;26;3;15;45;142;5
2020;TR711;Kırıkkale;Female;47;0;5;0;0;1;21;0;2;2;1;1;0;0;0;1;0;0;0;3;0;1;1;0;0;8;0
2020;TR712;Aksaray;Male;1415;33;270;29;35;32;176;29;25;57;106;19;0;0;0;46;87;0;36;37;5;97;13;25;26;231;1
